name,district,type,rating,reviews,ticket_price,visit_hours,lat,lng,description,best_months,best_months_list,id
雁荡山,乐清市,自然风光,4.7,85000,200,4.0,28.371,121.148,国家5A级景区，'东南第一山'，以奇峰怪石、飞瀑流泉闻名,"4,5,6,7,8,9,10","['4', '5', '6', '7', '8', '9', '10']",1
江心屿,鹿城区,历史人文,4.5,42000,30,2.5,28.02,120.642,中国四大名屿之一，历代文人墨客留下众多诗篇,"3,4,5,9,10,11","['3', '4', '5', '9', '10', '11']",2
楠溪江,永嘉县,自然风光,4.6,56000,50,5.0,28.307,120.693,国家4A级景区，以水秀、岩奇、瀑多、村古闻名,"5,6,7,8,9,10","['5', '6', '7', '8', '9', '10']",3
洞头列岛,洞头区,海岛风光,4.4,28000,100,6.0,27.837,121.154,国家4A级景区，由302个岛屿组成，'百岛之县',"6,7,8,9,10","['6', '7', '8', '9', '10']",4
南麂列岛,平阳县,海岛风光,4.6,18000,150,6.0,27.471,121.044,国家级海洋自然保护区，贝藻类王国,"6,7,8,9","['6', '7', '8', '9']",5
百丈漈,文成县,自然风光,4.5,35000,65,3.5,27.786,119.951,中华第一高瀑，三级瀑布总落差353米,"5,6,7,8,9","['5', '6', '7', '8', '9']",6
刘伯温故里,文成县,历史人文,4.3,22000,50,2.0,27.79,120.056,明朝开国元勋刘伯温故居，文化底蕴深厚,"3,4,5,9,10,11","['3', '4', '5', '9', '10', '11']",7
温州乐园,瓯海区,主题乐园,4.3,65000,130,5.0,27.97,120.646,浙南地区最大主题乐园，适合亲子游玩,"4,5,6,7,8,9,10","['4', '5', '6', '7', '8', '9', '10']",8
泽雅风景区,瓯海区,自然风光,4.2,15000,30,3.0,28.031,120.537,以瀑布、碧潭、古桥著称的山水胜地,"5,6,7,8,9","['5', '6', '7', '8', '9']",9
泰顺廊桥,泰顺县,历史人文,4.5,12000,40,2.0,27.558,119.716,中国廊桥之乡，现存古廊桥33座,"3,4,5,9,10,11","['3', '4', '5', '9', '10', '11']",10
渔寮风景区,苍南县,沙滩海岸,4.3,20000,40,4.0,27.225,120.529,浙南黄金海岸，沙滩长2000米,"6,7,8,9,10","['6', '7', '8', '9', '10']",11
碗窑古村,苍南县,古镇村落,4.2,10000,30,2.0,27.332,120.407,清代古村落，保存完整的古窑址和古民居,"3,4,5,9,10,11","['3', '4', '5', '9', '10', '11']",12
中雁荡山,乐清市,自然风光,4.3,8000,30,3.5,28.182,120.896,雁荡山支脉，以玉甑峰为核心,"4,5,6,7,8,9,10","['4', '5', '6', '7', '8', '9', '10']",13
瑞安古城,瑞安市,历史人文,4.0,6000,0,2.0,27.788,120.648,千年古县，历史文化名城,"3,4,5,9,10,11","['3', '4', '5', '9', '10', '11']",14
大罗山,瓯海区,自然风光,4.4,25000,0,4.0,27.919,120.716,温州城市后花园，登山观景好去处,"4,5,6,7,8,9,10,11","['4', '5', '6', '7', '8', '9', '10', '11']",15
仙岩风景区,瓯海区,自然风光,4.1,12000,35,2.5,27.881,120.671,朱自清《绿》的创作地，以梅雨潭闻名,"4,5,6,7,8,9","['4', '5', '6', '7', '8', '9']",16
铜铃山,文成县,自然风光,4.3,8000,70,3.0,27.876,119.887,国家森林公园，壶穴奇观,"5,6,7,8,9","['5', '6', '7', '8', '9']",17
望海楼,洞头区,历史人文,4.2,15000,50,1.5,27.851,121.148,洞头标志性建筑，登楼可观百岛全景,"3,4,5,9,10,11","['3', '4', '5', '9', '10', '11']",18
