name,district,star,rating,reviews,price,cost_performance,lat,lng,id
温州万豪酒店,鹿城区,5,4.5,4821,737,0.31,28.01968501579465,120.64458327528537,1
温州国际大酒店,鹿城区,4,3.6,7889,399,0.45,27.974286681792197,120.6650888472949,2
温州华侨饭店,鹿城区,4,3.6,10812,429,0.42,27.9600778765841,120.69922115592912,3
温州开元名都大酒店,鹿城区,5,4.3,9585,468,0.46,27.962306242504145,120.65247746602584,4
温州亚金大酒店,鹿城区,3,4.0,3300,296,0.68,27.983277134043032,120.60906064345329,5
温州顺锦国际商务酒店,鹿城区,4,4.3,7035,400,0.54,28.0066762893248,120.68599404067363,6
温州半岛酒店,鹿城区,4,4.4,7792,273,0.81,28.05422017556849,120.65632882178456,7
温州中瑞大酒店,瓯海区,4,3.6,10664,373,0.48,27.93220382348448,120.62951769101112,8
温州梦江酒店,瓯海区,3,3.5,13234,231,0.76,27.986252228435397,120.61117110760894,9
温州和晟温德姆酒店,瓯海区,5,4.2,9094,470,0.45,28.016958462776454,120.65751328233611,10
温州君廷酒店,瓯海区,4,4.7,13068,360,0.65,28.01218742350231,120.58884925020519,11
温州阿外楼度假酒店,瓯海区,4,3.8,3370,379,0.5,27.958867728968947,120.60713490317738,12
温州空港万豪酒店,龙湾区,5,4.3,16432,598,0.36,27.897599918202257,120.78962735057041,13
温州滨海大酒店,龙湾区,4,3.7,3591,312,0.59,27.90948815181756,120.7893488174718,14
温州瑞达洲际酒店,龙湾区,4,3.5,6069,404,0.43,27.94901755405312,120.82059599747811,15
温州龙湾国际机场宾馆,龙湾区,3,4.7,12184,224,1.05,27.95500385777898,120.80494506741383,16
雁荡山芙蓉宾馆,乐清市,3,3.6,3435,208,0.87,28.152960617833806,120.97375574713551,17
雁荡山云台山居,乐清市,4,4.7,4423,336,0.7,28.151324478722298,120.98607850486168,18
乐清金鼎大酒店,乐清市,4,4.2,6253,349,0.6,28.132273282938197,120.95275410183585,19
雁荡山雁山宾馆,乐清市,3,3.5,2192,154,1.14,28.143641041126376,120.94143559810763,20
乐清天豪君澜大酒店,乐清市,5,4.2,7089,443,0.47,28.121038292303563,120.9855551138543,21
瑞安时代开元名都大酒店,瑞安市,5,4.7,3116,476,0.49,27.818046783901526,120.66243540481338,22
瑞安国际大酒店,瑞安市,4,3.9,1304,315,0.62,27.751844043721686,120.64165099478704,23
瑞安瑞立大酒店,瑞安市,3,4.6,2108,177,1.3,27.7656297838077,120.69068284415458,24
瑞安华侨饭店,瑞安市,3,3.9,3295,153,1.27,27.765256885633416,120.63047812581581,25
楠溪江悦庭楠舍,永嘉县,4,4.2,8730,384,0.55,28.111986536733365,120.67376151714036,26
楠溪江耕读小院,永嘉县,3,4.7,7498,281,0.84,28.170301895889516,120.67636296023792,27
永嘉裕锦大酒店,永嘉县,4,4.8,15860,323,0.74,28.149724850589237,120.67008783098167,28
楠溪江四季驿站,永嘉县,3,3.9,3752,185,1.05,28.150267902322884,120.64514787512499,29
洞头金海岸开元名都度假酒店,洞头区,5,3.9,10786,579,0.34,27.843093458331712,121.14477831645732,30
洞头罗马酒店,洞头区,3,4.2,10278,218,0.96,27.82696544560614,121.12421599382775,31
洞头海景度假公寓,洞头区,3,4.5,8785,229,0.98,27.829882444244454,121.18164318732194,32
洞头海上人家,洞头区,4,4.5,4887,380,0.59,27.859581280679087,121.18583588048138,33
文成国际大酒店,文成县,4,4.4,1539,301,0.73,27.76264957751979,120.10451727904095,34
文成天鹅堡度假酒店,文成县,4,3.7,5432,367,0.5,27.833672998873674,120.0537520944146,35
文成隐山居,文成县,3,3.9,2098,248,0.79,27.8277339353381,120.06579416277152,36
苍南万顺大酒店,苍南县,4,4.6,8007,322,0.71,27.494185229090046,120.38931027678059,37
苍南国际大酒店,苍南县,4,4.7,11440,291,0.81,27.50390297910487,120.41492095746128,38
苍南渔寮海景酒店,苍南县,3,4.4,11407,223,0.99,27.547987554585763,120.44420316461543,39
泰顺香洲国际大酒店,泰顺县,4,3.7,5027,340,0.54,27.510919705161662,119.6801471542866,40
泰顺亿联开元名都大酒店,泰顺县,5,4.4,1116,431,0.51,27.564873378936657,119.73918951976927,41
泰顺山里人家民宿,泰顺县,3,4.3,2076,191,1.13,27.53372490874968,119.70253996981593,42
平阳国际大酒店,平阳县,4,4.0,7142,319,0.63,27.65080607918524,120.5642540230555,43
平阳南麂岛海景酒店,平阳县,3,4.2,6367,323,0.65,27.678987084756056,120.6078892858275,44
平阳海港宾馆,平阳县,3,4.1,8305,176,1.16,27.655007840769468,120.57451033620306,45
